"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Cannabis income account",36100601,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610060101",1,"CURRENT - a cube available to the public and that is current",Annual,1961-01-01,2018-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Estimate,,
3,Industry,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
2,"Gross domestic product (GDP)",,1,,,,
2,"Compensation of employees",,2,,,,
2,"Gross operating surplus",,3,,,,
2,"Mixed income",,4,,,,
2,"Taxes less subsidies",,5,,,,
3,"Medical cannabis industry",,1,,,,
3,"Non-medical cannabis industry",,2,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
5263,"Crowdsourcing - Cannabis"

"Subject Code","Subject Name"
36,"Economic accounts"

"Note ID",Note
1,"Statistics Canada, ""A cannabis economic account - A framework"", Latest Developments in the Canadian Economic Accounts (13-605-X), 2017 (https://www150.statcan.gc.ca/n1/pub/13-605-x/2017001/article/54881-eng.htm)"

"Correction ID","Correction Date","Correction Note"

